수광점ID,학교,종류,교사동/운동장,수광면,층,번호,수광점정의,X,Y,Z,S1_총일조h,S1_연속h,S1_기준A,S2_총일조h,S2_연속h,S2_기준A,Δ총일조h,Δ연속h,변화
체육관동 부속(원형부) 3층-6,여의도중학교,교사동 창면,체육관동 부속(원형부),체육관동 부속(원형부),3,6,도면기준,194299.65,547073.03,9.55,3.83,3.83,충족,2.5,1.5,불충족,-1.33,-2.33,신규 불충족
체육관동 부속(원형부) 4층-6,여의도중학교,교사동 창면,체육관동 부속(원형부),체육관동 부속(원형부),4,6,도면기준,194299.65,547073.03,13.15,4.0,4.0,충족,2.67,1.5,불충족,-1.33,-2.5,신규 불충족
체육관동 부속(원형부) 1층-7,여의도중학교,교사동 창면,체육관동 부속(원형부),체육관동 부속(원형부),1,7,도면기준,194303.06,547068.84,2.05,2.33,1.17,불충족,1.67,1.5,불충족,-0.66,0.33,유지 불충족
체육관동 부속(원형부) 2층-7,여의도중학교,교사동 창면,체육관동 부속(원형부),체육관동 부속(원형부),2,7,도면기준,194303.06,547068.84,5.95,3.17,3.17,충족,1.83,1.67,불충족,-1.34,-1.5,신규 불충족
체육관동 부속(원형부) 3층-7,여의도중학교,교사동 창면,체육관동 부속(원형부),체육관동 부속(원형부),3,7,도면기준,194303.06,547068.84,9.55,3.83,3.83,충족,2.5,1.67,불충족,-1.33,-2.16,신규 불충족
체육관동 부속(원형부) 4층-7,여의도중학교,교사동 창면,체육관동 부속(원형부),체육관동 부속(원형부),4,7,도면기준,194303.06,547068.84,13.15,4.17,4.17,충족,2.83,1.67,불충족,-1.34,-2.5,신규 불충족
체육관동 부속(원형부) 1층-8,여의도중학교,교사동 창면,체육관동 부속(원형부),체육관동 부속(원형부),1,8,도면기준,194305.33,547066.05,2.05,1.5,1.17,불충족,1.83,1.5,불충족,0.33,0.33,유지 불충족
체육관동 부속(원형부) 2층-8,여의도중학교,교사동 창면,체육관동 부속(원형부),체육관동 부속(원형부),2,8,도면기준,194305.33,547066.05,5.95,3.67,3.67,충족,2.33,1.67,불충족,-1.34,-2.0,신규 불충족
체육관동 부속(원형부) 3층-8,여의도중학교,교사동 창면,체육관동 부속(원형부),체육관동 부속(원형부),3,8,도면기준,194305.33,547066.05,9.55,4.0,4.0,충족,2.67,1.67,불충족,-1.33,-2.33,신규 불충족
체육관동 부속(원형부) 4층-8,여의도중학교,교사동 창면,체육관동 부속(원형부),체육관동 부속(원형부),4,8,도면기준,194305.33,547066.05,13.15,4.17,4.17,충족,2.83,1.67,불충족,-1.34,-2.5,신규 불충족
체육관동 부속(원형부) 1층-9,여의도중학교,교사동 창면,체육관동 부속(원형부),체육관동 부속(원형부),1,9,도면기준,194310.02,547068.71,2.05,0.67,0.67,불충족,0.67,0.67,불충족,0.0,0.0,유지 불충족
체육관동 부속(원형부) 2층-9,여의도중학교,교사동 창면,체육관동 부속(원형부),체육관동 부속(원형부),2,9,도면기준,194310.02,547068.71,5.95,0.83,0.83,불충족,0.83,0.83,불충족,0.0,0.0,유지 불충족
체육관동 부속(원형부) 3층-9,여의도중학교,교사동 창면,체육관동 부속(원형부),체육관동 부속(원형부),3,9,도면기준,194310.02,547068.71,9.55,1.0,1.0,불충족,1.0,1.0,불충족,0.0,0.0,유지 불충족
체육관동 부속(원형부) 4층-9,여의도중학교,교사동 창면,체육관동 부속(원형부),체육관동 부속(원형부),4,9,도면기준,194310.02,547068.71,13.15,1.33,1.0,불충족,1.33,1.0,불충족,0.0,0.0,유지 불충족
체육관동 부속(원형부) 1층-10,여의도중학교,교사동 창면,체육관동 부속(원형부),체육관동 부속(원형부),1,10,도면기준,194312.81,547070.98,2.05,0.0,0.0,불충족,0.0,0.0,불충족,0.0,0.0,유지 불충족
체육관동 부속(원형부) 2층-10,여의도중학교,교사동 창면,체육관동 부속(원형부),체육관동 부속(원형부),2,10,도면기준,194312.81,547070.98,5.95,0.0,0.0,불충족,0.0,0.0,불충족,0.0,0.0,유지 불충족
체육관동 부속(원형부) 3층-10,여의도중학교,교사동 창면,체육관동 부속(원형부),체육관동 부속(원형부),3,10,도면기준,194312.81,547070.98,9.55,0.0,0.0,불충족,0.0,0.0,불충족,0.0,0.0,유지 불충족
체육관동 부속(원형부) 4층-10,여의도중학교,교사동 창면,체육관동 부속(원형부),체육관동 부속(원형부),4,10,도면기준,194312.81,547070.98,13.15,0.5,0.5,불충족,0.5,0.5,불충족,0.0,0.0,유지 불충족
체육관동 부속(원형부) 1층-11,여의도중학교,교사동 창면,체육관동 부속(원형부),체육관동 부속(원형부),1,11,도면기준,194317.0,547074.39,2.05,0.0,0.0,불충족,0.0,0.0,불충족,0.0,0.0,유지 불충족
체육관동 부속(원형부) 2층-11,여의도중학교,교사동 창면,체육관동 부속(원형부),체육관동 부속(원형부),2,11,도면기준,194317.0,547074.39,5.95,0.0,0.0,불충족,0.0,0.0,불충족,0.0,0.0,유지 불충족
체육관동 부속(원형부) 3층-11,여의도중학교,교사동 창면,체육관동 부속(원형부),체육관동 부속(원형부),3,11,도면기준,194317.0,547074.39,9.55,0.0,0.0,불충족,0.0,0.0,불충족,0.0,0.0,유지 불충족
체육관동 부속(원형부) 4층-11,여의도중학교,교사동 창면,체육관동 부속(원형부),체육관동 부속(원형부),4,11,도면기준,194317.0,547074.39,13.15,0.5,0.5,불충족,0.5,0.5,불충족,0.0,0.0,유지 불충족
체육관동 부속(원형부) 1층-12,여의도중학교,교사동 창면,체육관동 부속(원형부),체육관동 부속(원형부),1,12,도면기준,194319.8,547076.66,2.05,0.0,0.0,불충족,0.0,0.0,불충족,0.0,0.0,유지 불충족
체육관동 부속(원형부) 2층-12,여의도중학교,교사동 창면,체육관동 부속(원형부),체육관동 부속(원형부),2,12,도면기준,194319.8,547076.66,5.95,0.0,0.0,불충족,0.0,0.0,불충족,0.0,0.0,유지 불충족
체육관동 부속(원형부) 3층-12,여의도중학교,교사동 창면,체육관동 부속(원형부),체육관동 부속(원형부),3,12,도면기준,194319.8,547076.66,9.55,0.17,0.17,불충족,0.17,0.17,불충족,0.0,0.0,유지 불충족
체육관동 부속(원형부) 4층-12,여의도중학교,교사동 창면,체육관동 부속(원형부),체육관동 부속(원형부),4,12,도면기준,194319.8,547076.66,13.15,0.5,0.5,불충족,0.5,0.5,불충족,0.0,0.0,유지 불충족
여의도중학교 운동장-1,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,1,옥외지반 근사,194351.78,547042.13,0.0,3.17,3.17,충족,3.5,3.5,충족,0.33,0.33,유지 충족
여의도중학교 운동장-2,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,2,옥외지반 근사,194359.78,547042.13,0.0,3.5,3.5,충족,3.67,3.67,충족,0.17,0.17,유지 충족
여의도중학교 운동장-3,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,3,옥외지반 근사,194367.78,547042.13,0.0,3.67,3.67,충족,3.5,3.5,충족,-0.17,-0.17,유지 충족
여의도중학교 운동장-4,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,4,옥외지반 근사,194319.78,547050.13,0.0,2.17,2.17,충족,2.83,2.83,충족,0.66,0.66,유지 충족
여의도중학교 운동장-5,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,5,옥외지반 근사,194327.78,547050.13,0.0,2.67,2.67,충족,3.17,3.17,충족,0.5,0.5,유지 충족
여의도중학교 운동장-6,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,6,옥외지반 근사,194335.78,547050.13,0.0,3.67,3.17,충족,3.5,3.33,충족,-0.17,0.16,유지 충족
여의도중학교 운동장-7,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,7,옥외지반 근사,194343.78,547050.13,0.0,3.67,3.5,충족,3.5,3.5,충족,-0.17,0.0,유지 충족
여의도중학교 운동장-8,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,8,옥외지반 근사,194351.78,547050.13,0.0,4.0,4.0,충족,3.67,3.67,충족,-0.33,-0.33,유지 충족
여의도중학교 운동장-9,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,9,옥외지반 근사,194359.78,547050.13,0.0,4.17,4.17,충족,3.83,3.83,충족,-0.34,-0.34,유지 충족
여의도중학교 운동장-10,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,10,옥외지반 근사,194367.78,547050.13,0.0,4.17,4.17,충족,3.83,3.83,충족,-0.34,-0.34,유지 충족
여의도중학교 운동장-11,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,11,옥외지반 근사,194311.78,547058.13,0.0,2.17,2.17,충족,2.33,2.33,충족,0.16,0.16,유지 충족
여의도중학교 운동장-12,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,12,옥외지반 근사,194327.78,547058.13,0.0,3.33,3.33,충족,3.33,3.33,충족,0.0,0.0,유지 충족
여의도중학교 운동장-13,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,13,옥외지반 근사,194335.78,547058.13,0.0,4.0,3.67,충족,3.5,3.5,충족,-0.5,-0.17,유지 충족
여의도중학교 운동장-14,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,14,옥외지반 근사,194343.78,547058.13,0.0,4.33,4.0,충족,3.67,3.67,충족,-0.66,-0.33,유지 충족
여의도중학교 운동장-15,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,15,옥외지반 근사,194351.78,547058.13,0.0,4.5,4.5,충족,3.83,3.83,충족,-0.67,-0.67,유지 충족
여의도중학교 운동장-16,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,16,옥외지반 근사,194359.78,547058.13,0.0,4.67,4.67,충족,4.0,4.0,충족,-0.67,-0.67,유지 충족
여의도중학교 운동장-17,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,17,옥외지반 근사,194367.78,547058.13,0.0,4.83,4.83,충족,4.0,4.0,충족,-0.83,-0.83,유지 충족
여의도중학교 운동장-18,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,18,옥외지반 근사,194303.78,547066.13,0.0,2.0,2.0,충족,2.0,2.0,충족,0.0,0.0,유지 충족
여의도중학교 운동장-19,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,19,옥외지반 근사,194335.78,547066.13,0.0,5.0,4.0,충족,4.0,3.5,충족,-1.0,-0.5,유지 충족
여의도중학교 운동장-20,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,20,옥외지반 근사,194343.78,547066.13,0.0,5.0,4.5,충족,4.0,3.67,충족,-1.0,-0.83,유지 충족
여의도중학교 운동장-21,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,21,옥외지반 근사,194351.78,547066.13,0.0,4.83,4.67,충족,3.83,3.83,충족,-1.0,-0.84,유지 충족
여의도중학교 운동장-22,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,22,옥외지반 근사,194359.78,547066.13,0.0,4.83,4.83,충족,3.83,3.83,충족,-1.0,-1.0,유지 충족
여의도중학교 운동장-23,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,23,옥외지반 근사,194367.78,547066.13,0.0,5.0,5.0,충족,4.0,4.0,충족,-1.0,-1.0,유지 충족
여의도중학교 운동장-24,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,24,옥외지반 근사,194343.78,547074.13,0.0,5.5,5.5,충족,3.83,3.5,충족,-1.67,-2.0,유지 충족
여의도중학교 운동장-25,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,25,옥외지반 근사,194351.78,547074.13,0.0,5.33,4.67,충족,4.0,3.67,충족,-1.33,-1.0,유지 충족
여의도중학교 운동장-26,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,26,옥외지반 근사,194359.78,547074.13,0.0,5.5,5.0,충족,4.17,3.83,충족,-1.33,-1.17,유지 충족
여의도중학교 운동장-27,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,27,옥외지반 근사,194327.78,547082.13,0.0,0.0,0.0,불충족,0.0,0.0,불충족,0.0,0.0,유지 불충족
여의도중학교 운동장-28,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,28,옥외지반 근사,194351.78,547082.13,0.0,6.0,5.83,충족,4.33,4.0,충족,-1.67,-1.83,유지 충족
여의도중학교 운동장-29,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,29,옥외지반 근사,194359.78,547082.13,0.0,6.17,5.83,충족,4.5,4.17,충족,-1.67,-1.66,유지 충족
여의도중학교 운동장-30,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,30,옥외지반 근사,194319.78,547090.13,0.0,0.0,0.0,불충족,0.0,0.0,불충족,0.0,0.0,유지 불충족
여의도중학교 운동장-31,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,31,옥외지반 근사,194327.78,547090.13,0.0,0.0,0.0,불충족,0.0,0.0,불충족,0.0,0.0,유지 불충족
여의도중학교 운동장-32,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,32,옥외지반 근사,194351.78,547090.13,0.0,5.67,5.67,충족,4.17,4.0,충족,-1.5,-1.67,유지 충족
여의도중학교 운동장-33,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,33,옥외지반 근사,194359.78,547090.13,0.0,6.33,6.0,충족,4.83,4.33,충족,-1.5,-1.67,유지 충족
여의도중학교 운동장-34,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,34,옥외지반 근사,194311.78,547098.13,0.0,0.0,0.0,불충족,0.0,0.0,불충족,0.0,0.0,유지 불충족
여의도중학교 운동장-35,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,35,옥외지반 근사,194359.78,547098.13,0.0,5.83,5.83,충족,4.33,4.17,충족,-1.5,-1.66,유지 충족
여의도중학교 운동장-36,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,36,옥외지반 근사,194295.78,547106.13,0.0,0.0,0.0,불충족,0.0,0.0,불충족,0.0,0.0,유지 불충족
여의도중학교 운동장-37,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,37,옥외지반 근사,194303.78,547106.13,0.0,0.0,0.0,불충족,0.0,0.0,불충족,0.0,0.0,유지 불충족
여의도중학교 운동장-38,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,38,옥외지반 근사,194311.78,547106.13,0.0,0.0,0.0,불충족,0.0,0.0,불충족,0.0,0.0,유지 불충족
여의도중학교 운동장-39,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,39,옥외지반 근사,194351.78,547106.13,0.0,3.67,3.67,충족,3.67,3.67,충족,0.0,0.0,유지 충족
여의도중학교 운동장-40,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,40,옥외지반 근사,194359.78,547106.13,0.0,5.5,5.5,충족,4.17,4.17,충족,-1.33,-1.33,유지 충족
여의도중학교 운동장-41,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,41,옥외지반 근사,194367.78,547106.13,0.0,3.0,3.0,충족,1.67,1.5,불충족,-1.33,-1.5,신규 불충족
여의도중학교 운동장-42,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,42,옥외지반 근사,194295.78,547114.13,0.0,0.0,0.0,불충족,0.0,0.0,불충족,0.0,0.0,유지 불충족
여의도중학교 운동장-43,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,43,옥외지반 근사,194303.78,547114.13,0.0,0.17,0.17,불충족,0.17,0.17,불충족,0.0,0.0,유지 불충족
여의도중학교 운동장-44,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,44,옥외지반 근사,194311.78,547114.13,0.0,0.33,0.33,불충족,0.33,0.33,불충족,0.0,0.0,유지 불충족
여의도중학교 운동장-45,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,45,옥외지반 근사,194351.78,547114.13,0.0,3.5,3.5,충족,3.5,3.5,충족,0.0,0.0,유지 충족
여의도중학교 운동장-46,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,46,옥외지반 근사,194375.78,547114.13,0.0,5.33,5.33,충족,4.0,3.83,충족,-1.33,-1.5,유지 충족
여의도중학교 운동장-47,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,47,옥외지반 근사,194287.78,547122.13,0.0,1.17,0.83,불충족,1.17,0.83,불충족,0.0,0.0,유지 불충족
여의도중학교 운동장-48,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,48,옥외지반 근사,194295.78,547122.13,0.0,0.67,0.67,불충족,0.67,0.67,불충족,0.0,0.0,유지 불충족
여의도중학교 운동장-49,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,49,옥외지반 근사,194303.78,547122.13,0.0,1.0,1.0,불충족,1.0,1.0,불충족,0.0,0.0,유지 불충족
여의도중학교 운동장-50,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,50,옥외지반 근사,194311.78,547122.13,0.0,0.67,0.67,불충족,0.33,0.33,불충족,-0.34,-0.34,유지 불충족
여의도중학교 운동장-51,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,51,옥외지반 근사,194343.78,547122.13,0.0,2.67,2.67,충족,2.67,2.67,충족,0.0,0.0,유지 충족
여의도중학교 운동장-52,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,52,옥외지반 근사,194351.78,547122.13,0.0,3.17,3.17,충족,3.17,3.17,충족,0.0,0.0,유지 충족
여의도중학교 운동장-53,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,53,옥외지반 근사,194375.78,547122.13,0.0,3.5,3.5,충족,3.17,3.17,충족,-0.33,-0.33,유지 충족
여의도중학교 운동장-54,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,54,옥외지반 근사,194383.78,547122.13,0.0,3.67,3.0,충족,2.5,1.67,불충족,-1.17,-1.33,신규 불충족
여의도중학교 운동장-55,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,55,옥외지반 근사,194287.78,547130.13,0.0,2.83,1.5,불충족,2.5,1.17,불충족,-0.33,-0.33,유지 불충족
여의도중학교 운동장-56,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,56,옥외지반 근사,194295.78,547130.13,0.0,2.67,1.5,불충족,2.67,1.5,불충족,0.0,0.0,유지 불충족
여의도중학교 운동장-57,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,57,옥외지반 근사,194303.78,547130.13,0.0,2.33,2.0,충족,1.5,1.0,불충족,-0.83,-1.0,신규 불충족
여의도중학교 운동장-58,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,58,옥외지반 근사,194311.78,547130.13,0.0,1.5,1.5,불충족,0.67,0.67,불충족,-0.83,-0.83,유지 불충족
여의도중학교 운동장-59,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,59,옥외지반 근사,194319.78,547130.13,0.0,0.33,0.33,불충족,0.33,0.33,불충족,0.0,0.0,유지 불충족
여의도중학교 운동장-60,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,60,옥외지반 근사,194327.78,547130.13,0.0,0.17,0.17,불충족,0.17,0.17,불충족,0.0,0.0,유지 불충족
여의도중학교 운동장-61,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,61,옥외지반 근사,194335.78,547130.13,0.0,2.0,2.0,충족,2.0,2.0,충족,0.0,0.0,유지 충족
여의도중학교 운동장-62,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,62,옥외지반 근사,194343.78,547130.13,0.0,2.5,2.5,충족,2.5,2.5,충족,0.0,0.0,유지 충족
여의도중학교 운동장-63,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,63,옥외지반 근사,194367.78,547130.13,0.0,1.17,1.17,불충족,1.17,1.17,불충족,0.0,0.0,유지 불충족
여의도중학교 운동장-64,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,64,옥외지반 근사,194383.78,547130.13,0.0,4.5,2.67,충족,3.5,1.67,불충족,-1.0,-1.0,신규 불충족
여의도중학교 운동장-65,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,65,옥외지반 근사,194279.78,547138.13,0.0,5.0,4.17,충족,4.33,2.17,충족,-0.67,-2.0,유지 충족
여의도중학교 운동장-66,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,66,옥외지반 근사,194287.78,547138.13,0.0,4.33,3.5,충족,3.5,1.67,불충족,-0.83,-1.83,신규 불충족
여의도중학교 운동장-67,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,67,옥외지반 근사,194295.78,547138.13,0.0,4.17,3.17,충족,3.33,1.33,불충족,-0.84,-1.84,신규 불충족
여의도중학교 운동장-68,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,68,옥외지반 근사,194303.78,547138.13,0.0,3.17,2.33,충족,2.33,0.83,불충족,-0.84,-1.5,신규 불충족
여의도중학교 운동장-69,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,69,옥외지반 근사,194311.78,547138.13,0.0,2.33,1.67,불충족,1.5,0.83,불충족,-0.83,-0.84,유지 불충족
여의도중학교 운동장-70,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,70,옥외지반 근사,194319.78,547138.13,0.0,1.5,0.67,불충족,1.5,0.67,불충족,0.0,0.0,유지 불충족
여의도중학교 운동장-71,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,71,옥외지반 근사,194327.78,547138.13,0.0,1.83,1.5,불충족,1.83,1.5,불충족,0.0,0.0,유지 불충족
여의도중학교 운동장-72,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,72,옥외지반 근사,194335.78,547138.13,0.0,1.83,1.83,불충족,1.83,1.83,불충족,0.0,0.0,유지 불충족
여의도중학교 운동장-73,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,73,옥외지반 근사,194367.78,547138.13,0.0,2.17,1.17,불충족,2.17,1.17,불충족,0.0,0.0,유지 불충족
여의도중학교 운동장-74,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,74,옥외지반 근사,194375.78,547138.13,0.0,3.5,1.83,불충족,3.5,1.83,불충족,0.0,0.0,유지 불충족
여의도중학교 운동장-75,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,75,옥외지반 근사,194383.78,547138.13,0.0,4.67,2.67,충족,4.0,2.67,충족,-0.67,0.0,유지 충족
여의도중학교 운동장-76,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,76,옥외지반 근사,194271.78,547146.13,0.0,4.67,4.17,충족,4.0,2.0,충족,-0.67,-2.17,유지 충족
여의도중학교 운동장-77,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,77,옥외지반 근사,194279.78,547146.13,0.0,4.5,3.83,충족,4.0,2.0,충족,-0.5,-1.83,유지 충족
여의도중학교 운동장-78,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,78,옥외지반 근사,194287.78,547146.13,0.0,4.33,3.5,충족,3.5,1.5,불충족,-0.83,-2.0,신규 불충족
여의도중학교 운동장-79,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,79,옥외지반 근사,194295.78,547146.13,0.0,3.83,3.0,충족,3.0,1.17,불충족,-0.83,-1.83,신규 불충족
여의도중학교 운동장-80,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,80,옥외지반 근사,194303.78,547146.13,0.0,3.5,2.5,충족,2.67,1.0,불충족,-0.83,-1.5,신규 불충족
여의도중학교 운동장-81,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,81,옥외지반 근사,194311.78,547146.13,0.0,3.0,1.67,불충족,2.17,0.83,불충족,-0.83,-0.84,유지 불충족
여의도중학교 운동장-82,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,82,옥외지반 근사,194319.78,547146.13,0.0,2.67,1.0,불충족,2.67,1.0,불충족,0.0,0.0,유지 불충족
여의도중학교 운동장-83,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,83,옥외지반 근사,194351.78,547146.13,0.0,0.67,0.67,불충족,0.67,0.67,불충족,0.0,0.0,유지 불충족
여의도중학교 운동장-84,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,84,옥외지반 근사,194359.78,547146.13,0.0,2.0,1.17,불충족,2.0,1.17,불충족,0.0,0.0,유지 불충족
여의도중학교 운동장-85,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,85,옥외지반 근사,194367.78,547146.13,0.0,3.5,1.83,불충족,3.5,1.83,불충족,0.0,0.0,유지 불충족
여의도중학교 운동장-86,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,86,옥외지반 근사,194375.78,547146.13,0.0,4.5,2.5,충족,4.5,2.5,충족,0.0,0.0,유지 충족
여의도중학교 운동장-87,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,87,옥외지반 근사,194383.78,547146.13,0.0,5.83,5.83,충족,5.5,5.5,충족,-0.33,-0.33,유지 충족
여의도중학교 운동장-88,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,88,옥외지반 근사,194391.78,547146.13,0.0,6.67,6.67,충족,5.67,5.67,충족,-1.0,-1.0,유지 충족
여의도중학교 운동장-89,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,89,옥외지반 근사,194263.78,547154.13,0.0,4.67,4.17,충족,4.17,2.17,충족,-0.5,-2.0,유지 충족
여의도중학교 운동장-90,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,90,옥외지반 근사,194271.78,547154.13,0.0,4.67,4.0,충족,4.0,2.0,충족,-0.67,-2.0,유지 충족
여의도중학교 운동장-91,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,91,옥외지반 근사,194279.78,547154.13,0.0,4.5,4.0,충족,3.83,2.0,충족,-0.67,-2.0,유지 충족
여의도중학교 운동장-92,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,92,옥외지반 근사,194287.78,547154.13,0.0,4.33,3.67,충족,3.67,1.83,불충족,-0.66,-1.84,신규 불충족
여의도중학교 운동장-93,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,93,옥외지반 근사,194295.78,547154.13,0.0,4.5,3.5,충족,3.83,1.67,불충족,-0.67,-1.83,신규 불충족
여의도중학교 운동장-94,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,94,옥외지반 근사,194303.78,547154.13,0.0,4.5,3.0,충족,3.83,1.33,불충족,-0.67,-1.67,신규 불충족
여의도중학교 운동장-95,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,95,옥외지반 근사,194311.78,547154.13,0.0,4.33,2.67,충족,3.5,1.0,불충족,-0.83,-1.67,신규 불충족
여의도중학교 운동장-96,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,96,옥외지반 근사,194359.78,547154.13,0.0,3.5,1.83,불충족,3.5,1.83,불충족,0.0,0.0,유지 불충족
여의도중학교 운동장-97,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,97,옥외지반 근사,194367.78,547154.13,0.0,4.5,4.5,충족,4.5,4.5,충족,0.0,0.0,유지 충족
여의도중학교 운동장-98,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,98,옥외지반 근사,194375.78,547154.13,0.0,5.33,5.33,충족,5.33,5.33,충족,0.0,0.0,유지 충족
여의도중학교 운동장-99,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,99,옥외지반 근사,194255.78,547162.13,0.0,4.33,4.33,충족,3.67,2.0,충족,-0.66,-2.33,유지 충족
여의도중학교 운동장-100,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,100,옥외지반 근사,194263.78,547162.13,0.0,4.5,4.5,충족,3.83,2.0,충족,-0.67,-2.5,유지 충족
여의도중학교 운동장-101,여의도중학교,운동장 지반,여의도중학교 운동장,지반,0,101,옥외지반 근사,194271.78,547162.13,0.0,4.67,4.67,충족,4.0,2.0,충족,-0.67,-2.67,유지 충족
