family,stage,floors,top_floors,height_m,new_fail,new_ok,gfa_m2,far_pct,service_m2,real_m2,coverage_m2,bcr_pct,daylight_ratio,dong_gap_m,dong_gap_ratio,n_dong,mean_total_h,min_short_m,label
단일,5 미세조정,43,43,145.9,76,37,37580,400.0,9194,46774,943,10.04,0.035,,,1,3.569,17.07,43층 874㎡(51.2×17.1m)
단일,5 미세조정,43,43,145.9,76,37,37580,400.0,8974,46554,942,10.02,0.032,,,1,3.558,17.99,43층 874㎡(48.6×18.0m)
단일,5 미세조정,55,55,185.5,77,37,37580,400.0,12820,50400,759,8.08,0.043,,,1,3.462,10.67,55층 683㎡(64.0×10.7m)
단일,5 미세조정,54,54,182.2,77,33,37580,400.0,11953,49533,768,8.17,0.058,,,1,3.495,11.8,54층 696㎡(59.0×11.8m)
단일,5 미세조정,54,54,182.2,77,32,37580,400.0,11761,49341,767,8.16,0.058,,,1,3.49,12.1,54층 696㎡(57.5×12.1m)
단일,5 미세조정,53,53,178.9,77,38,37580,400.0,9749,47329,768,8.18,0.026,,,1,3.593,17.28,53층 709㎡(41.0×17.3m)
단일,5 미세조정,53,53,178.9,77,36,37580,400.0,11913,49493,782,8.32,0.055,,,1,3.483,11.79,53층 709㎡(60.1×11.8m)
단일,5 미세조정,52,52,175.6,77,37,37580,400.0,11796,49376,796,8.48,0.051,,,1,3.475,11.9,52층 723㎡(60.7×11.9m)
단일,5 미세조정,50,50,169.0,77,34,37580,400.0,10731,48311,821,8.74,0.062,,,1,3.489,13.71,50층 752㎡(54.8×13.7m)
단일,5 미세조정,50,50,169.0,77,37,37580,400.0,10576,48156,820,8.73,0.065,,,1,3.488,14.06,50층 752㎡(53.4×14.1m)
단일,5 미세조정,49,49,165.7,77,37,37580,400.0,9890,47470,832,8.86,0.019,,,1,3.539,15.83,49층 767㎡(48.4×15.8m)
단일,5 미세조정,49,49,165.7,77,37,37580,400.0,10465,48045,836,8.9,0.065,,,1,3.485,14.21,49층 767㎡(54.0×14.2m)
단일,5 미세조정,48,48,162.4,77,37,37580,400.0,10420,48000,853,9.08,0.019,,,1,3.528,14.19,48층 783㎡(55.2×14.2m)
단일,1b 층수·세장비,47,47,159.1,77,38,37580,400.0,9249,46829,863,9.19,0.029,,,1,3.577,17.88,47층 800㎡(44.7×17.9m)
단일,5 미세조정,47,47,159.1,77,37,37580,400.0,9952,47532,868,9.24,0.02,,,1,3.559,15.29,47층 800㎡(52.3×15.3m)
단일,5 미세조정,46,46,155.8,77,38,37580,400.0,9523,47103,884,9.41,0.042,,,1,3.551,16.5,46층 817㎡(49.5×16.5m)
단일,5 미세조정,45,45,152.5,77,38,37580,400.0,8949,46529,899,9.57,0.028,,,1,3.582,18.75,45층 835㎡(44.5×18.8m)
단일,1b 층수·세장비,55,55,185.5,78,37,37580,400.0,12068,49648,754,8.03,0.061,,,1,3.481,11.69,55층 683㎡(58.4×11.7m)
단일,5 미세조정,53,53,178.9,78,37,37580,400.0,10902,48482,776,8.26,0.048,,,1,3.481,13.66,53층 709㎡(51.9×13.7m)
단일,5 미세조정,52,52,175.6,78,33,37580,400.0,10952,48532,791,8.42,0.089,,,1,3.503,13.44,52층 723㎡(53.8×13.4m)
단일,5 미세조정,52,52,175.6,78,37,37580,400.0,10794,48374,790,8.41,0.025,,,1,3.503,13.79,52층 723㎡(52.4×13.8m)
단일,5 미세조정,52,52,175.6,78,37,37580,400.0,10475,48055,788,8.39,0.074,,,1,3.501,14.58,52층 723㎡(49.6×14.6m)
단일,5 미세조정,50,50,169.0,78,38,37580,400.0,9266,46846,811,8.64,0.028,,,1,3.592,18.81,50층 752㎡(40.0×18.8m)
단일,5 미세조정,50,50,169.0,78,31,37580,400.0,10976,48556,823,8.76,0.08,,,1,3.497,13.19,50층 752㎡(57.0×13.2m)
