family,stage,floors,top_floors,height_m,new_fail,new_ok,gfa_m2,far_pct,service_m2,real_m2,coverage_m2,bcr_pct,daylight_ratio,dong_gap_m,dong_gap_ratio,n_dong,mean_total_h,min_short_m,label,corridor_gap,pair_gap,swap
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,119,15,37580,400.0,11123,48703,2056,21.89,0.083,4.0,0.11,4,3.754,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),56.86164955471031,4.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,119,15,37580,400.0,11123,48703,2056,21.89,0.076,5.0,0.14,4,3.749,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),56.80924177552515,5.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,122,15,37580,400.0,11123,48703,2056,21.89,0.083,4.0,0.11,4,3.745,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),56.861649558049976,4.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,124,15,37580,400.0,11123,48703,2056,21.89,0.076,5.0,0.14,4,3.738,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),56.809241778668365,5.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,125,23,37580,400.0,11412,48992,2061,21.94,0.41,5.0,0.24,4,3.785,17.13,20층 470㎡(27.4×17.1m) + 20층 470㎡(27.4×17.1m) + 20층 470㎡(27.4×17.1m) + 20층 470㎡(27.4×17.1m),8.272562959740753,5.0,True
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,126,15,37580,400.0,11123,48703,2056,21.89,0.068,6.0,0.17,4,3.732,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),56.756833999483206,6.0,False
2x2쌍,2x2쌍 표,20+20+20+20,20,70.0,128,13,37580,400.0,11123,48703,2056,21.89,0.091,4.0,0.11,4,3.758,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),53.5,4.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,129,9,37580,400.0,11123,48703,2056,21.89,0.153,4.0,0.11,4,3.725,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),53.3568709939791,4.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,129,9,37580,400.0,11123,48703,2056,21.89,0.146,5.0,0.14,4,3.721,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),53.3568709939791,5.0,False
2x2쌍,2x2쌍 미세조정,20+20+20+20,20,70.0,132,9,37580,400.0,11123,48703,2056,21.89,0.139,6.0,0.17,4,3.716,21.67,20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m) + 20층 470㎡(21.7×21.7m),53.3568709939791,6.0,False
