순위,코드,계열,형상,기준층㎡,층수,직사각형도,장단비,동서폭m,대지수용,기준A충족%,기준B충족%,현황대비%p,학교최악%p,불충족점수,불충족평균확보h,학교30-1%,학교40-1%,학교40-2%,학교40-3%
66,S093,타원,타원 1.6:1 / 회전 30°,683.3,55,0.784,1.6,34.4,가능,84.6,80.0,1.9,-3.2,105,1.48,80.2,85.5,82.1,100.0
67,S091,타원,타원 1.6:1 / 회전 0°,683.3,55,0.784,1.6,37.4,가능,84.4,79.0,1.8,-3.3,106,1.5,79.2,85.9,82.1,100.0
68,S068,직사각형,직사각형 4:1 / 회전 90°,683.3,55,1.0,4.0,13.1,가능,84.7,80.3,2.1,-2.8,104,1.51,80.2,85.9,82.1,100.0
69,S107,타원,타원 2.4:1 / 회전 60°,683.3,55,0.784,2.4,28.2,가능,84.7,80.3,2.1,-2.8,104,1.5,80.2,85.9,82.1,100.0
70,S182,T형,'T' 자 / 회전 270°,683.3,55,0.539,1.61,28.1,가능,84.7,80.3,2.1,-2.8,104,1.48,80.2,85.9,82.1,100.0
71,S151,V(<)형,'<' 벌림 160° / 회전 0°,683.3,55,0.654,3.99,16.2,가능,84.7,80.3,2.1,-2.8,104,1.5,80.2,85.9,82.1,100.0
72,S013,직사각형,직사각형 1.25:1 / 회전 165°,683.3,55,1.0,1.25,34.3,가능,84.3,78.8,1.6,-3.8,107,1.52,78.8,85.9,82.1,100.0
73,S017,직사각형,직사각형 1.5:1 / 회전 45°,683.3,55,1.0,1.5,37.7,가능,84.3,79.0,1.6,-3.3,107,1.52,79.2,85.5,82.1,100.0
74,S029,직사각형,직사각형 2:1 / 회전 45°,683.3,55,1.0,2.0,39.2,가능,84.0,78.7,1.3,-4.4,109,1.51,79.7,84.3,82.1,100.0
75,S092,타원,타원 1.6:1 / 회전 15°,683.3,55,0.784,1.6,36.6,가능,84.3,78.8,1.6,-3.3,107,1.52,79.2,85.5,82.1,100.0
76,S106,타원,타원 2.4:1 / 회전 45°,683.3,55,0.784,2.4,35.1,가능,84.0,79.0,1.3,-4.4,109,1.52,79.7,84.3,82.1,100.0
77,S121,V(<)형,'<' 벌림 90° / 회전 180°,683.3,55,0.476,1.0,30.7,가능,84.1,79.6,1.5,-2.8,108,1.56,80.2,85.9,79.5,100.0
78,S126,V(<)형,'<' 벌림 90° / 회전 330°,683.3,55,0.476,1.0,38.0,가능,84.0,78.4,1.3,-3.8,109,1.52,78.8,85.5,81.5,100.0
79,S127,V(<)형,'<' 벌림 120° / 회전 0°,683.3,55,0.439,2.39,25.5,가능,84.1,78.7,1.5,-2.8,108,1.55,80.2,85.9,79.5,100.0
80,S012,직사각형,직사각형 1.25:1 / 회전 150°,683.3,55,1.0,1.25,37.0,가능,83.7,78.1,1.0,-3.3,111,1.55,79.2,85.9,78.8,100.0
